rollout_id,mb_idx,rank0_tokens,rank1_tokens,rank2_tokens,rank3_tokens
7,8,8408,7828,8364,8408
7,9,8408,7005,8364,6839
7,10,8408,5618,8408,8302
7,11,6590,8300,8408,8642
7,12,7037,8311,8562,8311
7,13,8311,8311,8311,8024
7,14,8311,8324,8311,8324
7,15,8311,8980,8324,8935
7,16,9049,8324,8574,6987
7,17,8324,8528,6310,8557
7,18,8614,8909,9004,8343
7,19,8343,8343,5358,8343
7,20,8355,8343,4997,6219
7,21,8355,7839,8343,8355
7,22,8208,8355,8343,8214
7,23,7671,8373,8343,8355
7,24,6214,6694,8355,8373
7,25,3840,4159,7352,3503
8,0,8281,4110,8281,8281
8,1,8044,8281,8411,8411
8,2,8411,4944,8411,8411
8,3,8313,8411,8046,7928
8,4,3086,6414,8227,8307
8,5,8307,8307,6849,7921
8,6,8333,8307,8333,7111
8,7,8297,8333,8333,8333
8,8,8123,8333,8333,8333
8,9,8310,7552,7047,6731
8,10,8310,8310,8297,6487
8,11,5328,6832,8310,8297
8,12,8367,5490,8310,8310
8,13,8367,8367,8310,8310
8,14,5773,8367,7501,7462
8,15,6635,7630,7568,5756
8,16,7325,7990,8367,8367
8,17,8380,6991,8367,8367
8,18,8380,8380,4904,5090
8,19,6878,8380,8380,8380
8,20,8278,8278,8380,8380
8,21,7329,8278,8278,8278
8,22,8405,8405,7960,8278
8,23,8405,8405,8405,8405
8,24,8405,8349,6238,8349
8,25,7747,8312,8337,8094
8,26,7966,8027,8337,8337
8,27,8337,8337,8456,8337
8,28,8337,8337,8456,8456
8,29,8456,8456,4605,8456
8,30,8456,8456,5331,3404
9,0,7796,8289,8584,8221
9,1,8289,8289,8040,8989
9,2,8289,6940,7632,8289
9,3,8855,7391,9122,8289
9,4,8235,8302,8983,7215
9,5,6578,8365,8289,6964
9,6,8309,8365,8289,7456
9,7,6492,8365,6963,8747
9,8,6954,9080,8348,6689
9,9,7853,7765,6544,8302
9,10,7547,6398,6134,6617
9,11,8027,8303,8997,8302
9,12,8302,8303,5077,8365
9,13,8302,8022,7213,8365
9,14,8365,8985,7812,9067
9,15,8303,8920,8302,6266
9,16,8372,9118,8365,7996
9,17,9122,8374,8365,8303
9,18,8374,8374,8303,8374
9,19,6099,5676,7441,8374
9,20,7238,8285,7913,8374
9,21,9061,6575,8303,7846
9,22,7211,7080,5546,9094
9,23,8991,7457,8374,5593
9,24,8441,7894,8374,7756
9,25,2568,3057,6659,4119
10,0,8316,8316,8316,8316
10,1,8316,8316,8316,8771
10,2,8652,8754,8316,8614
10,3,8893,7524,8949,8351
10,4,8351,9090,8351,8325
10,5,8351,8351,8891,7589
10,6,8325,8351,8325,8325
10,7,7446,8122,8392,8392
10,8,7942,8325,8167,8959
10,9,8392,8392,6799,8442
10,10,8442,8442,8442,8442
10,11,8442,8442,8442,8321
10,12,8321,8321,8321,8316
10,13,8321,8321,8321,8316
10,14,8316,8316,8321,8347
10,15,8316,8316,8316,8347
10,16,8347,8347,8316,8392
10,17,8347,8347,8347,8392
10,18,8392,8392,8347,9168
10,19,8392,8392,8392,8333
10,20,8333,8906,8392,8319
10,21,8319,8333,8333,8319
10,22,8319,8319,7847,8319
10,23,8305,8319,9177,6303
10,24,8305,8305,8319,8305
10,25,5199,8305,8305,8305
10,26,9046,5556,8529,8305
10,27,5249,4014,1741,2397
11,0,8380,7286,8292,7795
11,1,7974,6323,8292,7907
11,2,7135,7387,8313,8292
11,3,8292,6960,7281,8185
11,4,8173,8292,8347,7288
11,5,8292,8347,8006,8467
11,6,6902,6788,8347,8953
11,7,6233,8347,8467,8310
11,8,8467,8467,8467,5093
11,9,8789,8467,8467,6936
11,10,8405,8467,7856,5605
11,11,5365,5538,6626,6438
11,12,6553,7960,6092,8325
11,13,4687,6017,4864,8349
11,14,6426,8325,4558,8349
11,15,8325,8325,5270,8344
11,16,7547,5284,8325,8344
11,17,8325,4681,8325,8343
11,18,5593,8349,5534,8244
11,19,8349,8349,7354,8343
11,20,8349,8344,8349,6890
11,21,8344,8344,8349,8315
11,22,8344,8343,8344,8315
11,23,8343,8229,8344,5082
11,24,8343,8315,8343,8395
11,25,8315,8315,6983,7183
11,26,8395,4734,8315,6225
11,27,8255,7638,7793,8395
11,28,7317,8035,6352,8395
11,29,4434,8395,8395,3545
12,0,7288,8333,9198,9160
12,1,8561,8561,8832,6749
12,2,8561,8984,7094,8561
12,3,8561,8400,8333,8561
12,4,9069,8400,6571,8227
12,5,8400,8306,8561,8453
12,6,8400,8306,6707,7002
12,7,8306,7790,8400,8400
12,8,8306,8092,8400,8400
12,9,8399,6913,8306,8306
12,10,7687,7310,8306,8306
12,11,6724,8338,8621,9211
12,12,7953,8311,7662,7964
12,13,8327,7955,8338,7455
12,14,8338,9134,8058,7825
12,15,8311,8475,7847,8338
12,16,6767,9192,8311,8338
12,17,8735,8681,9095,8311
12,18,8058,8315,6836,8834
12,19,8945,8315,8461,9021
12,20,8315,8604,8985,8315
12,21,8315,8350,8315,8315
12,22,9188,6291,8315,8674
12,23,6419,6577,8350,4140
13,0,8326,8326,8326,8326
13,1,8326,8326,8313,8326
13,2,8313,8313,8313,8326
13,3,8993,7575,8349,7261
13,4,6728,8349,8349,8313
13,5,6490,8076,8980,7792
13,6,8865,8342,7868,8349
13,7,5267,8915,8399,6070
13,8,7836,6915,8399,8349
13,9,7494,8719,8316,8949
13,10,8399,8313,8663,8680
13,11,8399,7808,6335,8793
13,12,8316,6374,7532,8313
13,13,9072,8399,6802,6531
13,14,8316,8399,6542,8399
13,15,8477,8910,9142,8399
13,16,7157,9050,6920,7189
13,17,5898,7132,8807,9166
13,18,8386,5726,5787,7028
13,19,7616,8282,5654,7545
13,20,8333,7475,7402,4149
13,21,5843,7184,8331,5689
13,22,6916,6632,8128,7920
13,23,8107,8331,7768,8221
13,24,5508,8291,8291,8291
13,25,8291,5828,5772,5617
13,26,7259,5531,7212,6779
13,27,5713,3122,3943,5872
14,0,8058,7298,8170,8319
14,1,7212,8319,8347,7555
