step,perf/sleep_time,perf/wake_up_time,perf/data_preprocess_time,perf/update_weights_time,perf/train_wait_time,perf/ref_log_probs_time,perf/actor_train_time,perf/train_time,perf/step_time,perf/wait_time_ratio,perf/actor_train_tok_per_s
0,2.8186733722686768,1.611107587814331,0.0364377498626709,2.340442180633545,222.53133487701416,29.255731105804443,56.08827042579651,87.26041221618652,309.7917470932007,0.7183255750517644,15397.497434736342
1,15.122786283493042,5.036666393280029,0.036890268325805664,2.2814931869506836,111.28137803077698,12.321486949920654,47.138975858688354,60.044589042663574,171.32596707344055,0.6495301321315474,17831.358969693756
2,10.983422994613647,4.9040398597717285,0.037360191345214844,2.3080039024353027,104.80337619781494,11.99697732925415,47.18670392036438,59.96826410293579,164.77164030075073,0.6360522721417458,18169.313149037163
3,10.831575870513916,5.023460865020752,0.03492879867553711,3.1467175483703613,108.82659888267517,11.707356691360474,46.515777826309204,59.21667170524597,168.04327058792114,0.6476105737643122,18030.763736377314
4,11.091702938079834,5.72702169418335,0.04011988639831543,2.537426471710205,107.45265245437622,13.035848617553711,53.38750410079956,67.07630395889282,174.52895641326904,0.6156723483748903,18076.627035755107
5,11.277979612350464,5.078073024749756,0.0319981575012207,2.3246257305145264,96.21587896347046,10.874250650405884,44.05962300300598,55.81769633293152,152.03357529640198,0.6328594113233849,17789.462246341172
6,10.816921949386597,5.005955934524536,0.03559732437133789,2.208237409591675,105.81870651245117,12.536464929580688,47.004518032073975,60.043622970581055,165.86232948303223,0.6379911993414783,18182.33726844769
7,11.61570143699646,5.172530889511108,0.03446388244628906,5.190948486328125,108.22911643981934,12.218534469604492,45.30706238746643,57.91455602645874,166.14367246627808,0.651418828254121,18338.53170383095
8,11.398836374282837,4.840688467025757,0.040169715881347656,2.7770068645477295,107.90949034690857,13.868547201156616,53.656888484954834,68.18601369857788,176.09550404548645,0.6127895821748802,17993.458570947783
9,11.183958053588867,5.201991081237793,0.03255748748779297,2.3018736839294434,99.09394073486328,11.454402685165405,43.85424518585205,55.85287857055664,154.94681930541992,0.6395351719968934,18422.138987370727
10,10.994309186935425,5.1964216232299805,0.037448883056640625,3.086074113845825,229.92697167396545,13.685321807861328,51.21371650695801,65.32787346839905,295.2548451423645,0.778740723333771,17748.93645682798
11,11.268145561218262,5.164502382278442,0.03595447540283203,2.265443801879883,107.15240430831909,13.043148279190063,50.212727785110474,63.99374580383301,171.1461501121521,0.6260871438714929,18055.223047827203
12,11.55225920677185,5.571239948272705,0.031320810317993164,2.820868968963623,106.71850872039795,10.90374231338501,42.598313093185425,53.89877772331238,160.61728644371033,0.6644272922503789,18372.417665646957
13,10.627750873565674,5.072271823883057,0.03399372100830078,2.9350225925445557,106.76357245445251,12.365209341049194,46.549434661865234,59.52701115608215,166.29058361053467,0.6420301747482047,18272.445329971222
14,11.225467681884766,5.150430917739868,0.03714323043823242,2.367521047592163,108.45355415344238,13.772124767303467,52.19220757484436,66.36015510559082,174.8137092590332,0.6203950171478798,18190.66569733674
15,11.160613059997559,5.645355463027954,0.029870986938476562,2.215270757675171,96.20131158828735,10.471111297607422,41.68942975997925,52.662904024124146,148.8642156124115,0.6462353037130207,18269.23525663449
16,10.552410364151001,5.625617980957031,0.028756380081176758,2.759938955307007,93.24904537200928,9.95929479598999,39.92345666885376,50.38699388504028,143.63603925704956,0.649203680735945,18306.35573622998
17,11.102411031723022,5.098405599594116,0.03277754783630371,2.8930726051330566,108.11850357055664,11.633980751037598,45.5215265750885,58.41504120826721,166.53354477882385,0.6492295814284788,18180.739141839535
18,10.988764524459839,5.070144891738892,0.036046504974365234,3.0324621200561523,108.13182735443115,12.736549854278564,51.25321364402771,65.0010621547699,173.13288950920105,0.6245597105261999,18123.40990852655
19,10.944751501083374,5.192816495895386,0.033158302307128906,3.128408193588257,109.91639351844788,11.735326290130615,44.866435527801514,57.34756112098694,167.26395463943481,0.6571433382368059,18278.942607148227
